,,,,,Examples of Top 10 Recommendation Lists,,,,,,,,,
,,,,,,,,,,,,,,
User = 943,,,,,,,,,,,,,,
,ALS Top 10 - Diversity Score: 0.88/1,,,,RBM Top 10 - Diversity Score: 0.96/1,,,,SAR Top 10- Diversity Score: 0.57/1,,,,WD Top 10 - Diversity Score: 0.72/1,
1,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,,1,"Terminator, The (1984)",Action|Sci-Fi|Thriller,,1,Jurassic Park (1993),Action|Adventure|Sci-Fi,,1,Casablanca (1942),Drama|Romance|War
2,Ruby in Paradise (1993),Drama,,2,Mission: Impossible (1996),Action|Adventure|Mystery,,2,Batman (1989),Action|Adventure|Crime|Drama,,2,"Wrong Trousers, The (1993)",Animation|Comedy
3,Safe (1995),Thriller,,3,"Program, The (1993)",Action|Drama,,3,Speed (1994),Action|Romance|Thriller,,3,"Close Shave, A (1995)",Animation|Comedy|Thriller
4,Get on the Bus (1996),Drama,,4,C'est arrivé près de chez vous (1992),Comedy|Crime|Drama,,4,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,,4,Citizen Kane (1941),Drama
5,"Godfather, The (1972)",Action|Crime|Drama,,5,When Harry Met Sally... (1989),Comedy|Romance,,5,Blade Runner (1982),Film-Noir|Sci-Fi,,5,Wallace & Gromit: The Best of Aardman Animation (1996),Animation
6,"Nightmare on Elm Street, A (1984)",Horror,,6,"Boys, Les (1997)",Comedy,,6,Mrs. Doubtfire (1993),Comedy,,6,Vertigo (1958),Mystery|Thriller
7,Some Folks Call It a Sling Blade (1993),Drama|Thriller,,7,"Woman in Question, The (1950)",Mystery,,7,Seven (Se7en) (1995),Crime|Thriller,,7,North by Northwest (1959),Comedy|Thriller
8,8 Heads in a Duffel Bag (1997),Comedy,,8,"Paper, The (1994)",Comedy|Drama,,8,"Lion King, The (1994)",Animation|Children's|Musical,,8,Good Will Hunting (1997),Drama
9,Paths of Glory (1957),Drama|War,,9,Normal Life (1996),Crime|Drama,,9,Groundhog Day (1993),Comedy|Romance,,9,Rear Window (1954),Mystery|Thriller
10,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,,10,I Like It Like That (1994),Comedy|Drama|Romance,,10,Raising Arizona (1987),Comedy,,10,Glory (1989),Action|Drama|War
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
User =  765,,,,,,,,,,,,,,
,ALS Top 10- Diversity Score: 0.88/1,,,,RBM Top 10 - Diversity Score: 0.96/1,,,,SAR Top 10 - Diversity Score: 0.57/1,,,,WD Top 10- Diversity Score: 0.72/1,
1,Burnt By the Sun (1994),Drama,,1,Stealing Beauty (1996),Drama,,1,Fargo (1996),Crime|Drama|Thriller,,1,"Close Shave, A (1995)",Animation|Comedy|Thriller
2,Trust (1990),Comedy|Drama,,2,"Truth or Consequences, N.M. (1997)",Action|Crime|Romance,,2,Sense and Sensibility (1995),Drama|Romance,,2,"Shawshank Redemption, The (1994)",Drama
3,Orlando (1993),Drama,,3,"Postino, Il (1994)",Drama|Romance,,3,Toy Story (1995),Animation|Children's|Comedy,,3,"Boot, Das (1981)",Action|Drama|War
4,"World of Apu, The (Apur Sansar) (1959)",Drama,,4,Down by Law (1986),Comedy|Drama,,4,Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,,4,12 Angry Men (1957),Drama
5,"Horse Whisperer, The (1998)",Drama,,5,Mamma Roma (1962),Drama,,5,Dead Man Walking (1995),Drama,,5,North by Northwest (1959),Comedy|Thriller
6,Priest (1994),Drama,,6,Power 98 (1995),Action|Mystery|Thriller,,6,Raising Arizona (1987),Comedy,,6,Vertigo (1958),Mystery|Thriller
7,Ridicule (1996),Drama,,7,"Hungarian Fairy Tale, A (1987)",Fantasy,,7,Raiders of the Lost Ark (1981),Action|Adventure,,7,Casablanca (1942),Drama|Romance|War
8,"Basketball Diaries, The (1995)",Drama,,8,Lamerica (1994),Drama,,8,Lone Star (1996),Drama|Mystery,,8,Schindler's List (1993),Drama|War
9,My Own Private Idaho (1991),Drama,,9,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy,,9,Four Weddings and a Funeral (1994),Comedy|Romance,,9,Titanic (1997),Action|Drama|Romance
10,Boy's Life 2 (1997),Drama,,10,I Can't Sleep (J'ai pas sommeil) (1994),Drama|Thriller,,10,"Silence of the Lambs, The (1991)",Drama|Thriller,,10,"Usual Suspects, The (1995)",Crime|Thriller
,,,,,,,,,,,,,,
User = 1,,,,,,,,,,,,,,
,ALS Top 10 - Diversity Score: 0.88/1,,,,RBM Top 10- Diversity Score: 0.96/1,,,,SAR Top 10- Diversity Score: 0.57/1,,,,WD Top 10 - Diversity Score: 0.72/1,
1,Pather Panchali (1955),Drama,,1,Citizen Kane (1941),Drama,,1,Raising Arizona (1987),Comedy,,1,Casablanca (1942),Drama|Romance|War
2,"Close Shave, A (1995)",Animation|Comedy|Thriller,,2,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,,2,Forrest Gump (1994),Comedy|Romance|War,,2,North by Northwest (1959),Comedy|Thriller
3,"Boot, Das (1981)",Action|Drama|War,,3,Independence Day (ID4) (1996),Action|Sci-Fi|War,,3,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,,3,Rear Window (1954),Mystery|Thriller
4,Wings of Desire (1987),Comedy|Drama|Romance,,4,Toy Story (1995),Animation|Children's|Comedy,,4,Back to the Future (1985),Comedy|Sci-Fi,,4,Schindler's List (1993),Drama|War
5,To Live (Huozhe) (1994),Drama,,5,12 Angry Men (1957),Drama,,5,Pulp Fiction (1994),Crime|Drama,,5,Titanic (1997),Action|Drama|Romance
6,"Winter Guest, The (1997)",Drama,,6,"Turning, The (1992)",Drama,,6,Stand by Me (1986),Adventure|Comedy|Drama,,6,"Close Shave, A (1995)",Animation|Comedy|Thriller
7,My Man Godfrey (1936),Comedy,,7,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,,7,Amadeus (1984),Drama|Mystery,,7,Secrets & Lies (1996),Drama
8,Night on Earth (1991),Comedy|Drama,,8,"Cérémonie, La (1995)",Drama,,8,Clueless (1995),Comedy,,8,Vertigo (1958),Mystery|Thriller
9,"City of Lost Children, The (1995)",Adventure|Sci-Fi,,9,"Basketball Diaries, The (1995)",Drama,,9,Heathers (1989),Comedy,,9,One Flew Over the Cuckoo's Nest (1975),Drama
10,Shallow Grave (1994),Thriller,,10,I Can't Sleep (J'ai pas sommeil) (1994),Drama|Thriller,,10,"Silence of the Lambs, The (1991)",Drama|Thriller,,10,"Third Man, The (1949)",Mystery|Thriller